Namespace(batch_size=32, dataset_path='ModelNet40', dataset_type='modelnet', device='cuda:0', emb_dims=1024, epochs=400, eval=False, exp_name='exp_pnlk', fine_tune_pointnet='tune', num_points=1024, optimizer='Adam', pretrained='', resume='', seed=1234, start_epoch=0, symfn='avg', transfer_ptnet_weights='./checkpoints/exp_classifier/models/best_ptnet_model.t7', workers=4)
EPOCH:: 1, Traininig Loss: 1.724667, Testing Loss: 0.632835, Best Loss: 0.632835, Training Acc: 0.019608, Testing Acc: 0.129870
EPOCH:: 2, Traininig Loss: 0.719802, Testing Loss: 0.472017, Best Loss: 0.472017, Training Acc: 0.026144, Testing Acc: 0.246753
EPOCH:: 3, Traininig Loss: 0.648932, Testing Loss: 0.635409, Best Loss: 0.472017, Training Acc: 0.058824, Testing Acc: 0.194805
EPOCH:: 4, Traininig Loss: 0.614512, Testing Loss: 0.375240, Best Loss: 0.375240, Training Acc: 0.032680, Testing Acc: 0.311688
EPOCH:: 5, Traininig Loss: 0.518966, Testing Loss: 0.516998, Best Loss: 0.375240, Training Acc: 0.098039, Testing Acc: 0.220779
EPOCH:: 6, Traininig Loss: 0.646017, Testing Loss: 0.544863, Best Loss: 0.375240, Training Acc: 0.032680, Testing Acc: 0.194805
EPOCH:: 7, Traininig Loss: 0.585193, Testing Loss: 0.839410, Best Loss: 0.375240, Training Acc: 0.058824, Testing Acc: 0.259740
EPOCH:: 8, Traininig Loss: 0.552264, Testing Loss: 0.613535, Best Loss: 0.375240, Training Acc: 0.065359, Testing Acc: 0.233766
EPOCH:: 9, Traininig Loss: 0.512820, Testing Loss: 0.401780, Best Loss: 0.375240, Training Acc: 0.104575, Testing Acc: 0.285714
EPOCH:: 10, Traininig Loss: 0.418690, Testing Loss: 0.311812, Best Loss: 0.311812, Training Acc: 0.117647, Testing Acc: 0.402597
EPOCH:: 11, Traininig Loss: 0.654248, Testing Loss: 0.962000, Best Loss: 0.311812, Training Acc: 0.104575, Testing Acc: 0.142857
EPOCH:: 12, Traininig Loss: 0.970570, Testing Loss: 0.487346, Best Loss: 0.311812, Training Acc: 0.058824, Testing Acc: 0.233766
EPOCH:: 13, Traininig Loss: 0.561927, Testing Loss: 0.374047, Best Loss: 0.311812, Training Acc: 0.111111, Testing Acc: 0.311688
EPOCH:: 14, Traininig Loss: 0.360588, Testing Loss: 0.399503, Best Loss: 0.311812, Training Acc: 0.183007, Testing Acc: 0.350649
EPOCH:: 15, Traininig Loss: 0.555787, Testing Loss: 0.527163, Best Loss: 0.311812, Training Acc: 0.104575, Testing Acc: 0.311688
EPOCH:: 16, Traininig Loss: 0.512215, Testing Loss: 0.697350, Best Loss: 0.311812, Training Acc: 0.078431, Testing Acc: 0.220779
EPOCH:: 17, Traininig Loss: 0.219981, Testing Loss: 0.451952, Best Loss: 0.311812, Training Acc: 0.274510, Testing Acc: 0.298701
