Namespace(batch_size=22, dataset_path='ModelNet40', dataset_type='modelnet', device='cuda:0', emb_dims=512, epochs=200, eval=False, exp_name='exp_prnet', num_iterations=3, optimizer='Adam', pretrained='', resume='', seed=1234, start_epoch=0, workers=2)
EPOCH:: 1, Traininig Loss: 0.187391, Testing Loss: 0.164218, Best Loss: 0.164218, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 2, Traininig Loss: 0.108163, Testing Loss: 0.140689, Best Loss: 0.140689, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 3, Traininig Loss: 0.069187, Testing Loss: 0.096416, Best Loss: 0.096416, Training Acc: 1.000000, Testing Acc: 0.980769
EPOCH:: 4, Traininig Loss: 0.043746, Testing Loss: 0.056764, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 5, Traininig Loss: 0.084604, Testing Loss: 0.113401, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 6, Traininig Loss: 0.075538, Testing Loss: 0.085831, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 7, Traininig Loss: 0.092987, Testing Loss: 0.189625, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 0.980769
EPOCH:: 8, Traininig Loss: 0.109834, Testing Loss: 0.173967, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 0.980769
EPOCH:: 9, Traininig Loss: 0.153709, Testing Loss: 0.169863, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 10, Traininig Loss: 0.122256, Testing Loss: 0.128747, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 11, Traininig Loss: 0.116785, Testing Loss: 0.312917, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 0.846154
EPOCH:: 12, Traininig Loss: 0.125680, Testing Loss: 0.141109, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
Namespace(batch_size=22, dataset_path='ModelNet40', dataset_type='modelnet', device='cuda:0', emb_dims=512, epochs=200, eval=False, exp_name='exp_prnet', num_iterations=3, optimizer='Adam', pretrained='', resume='', seed=1234, start_epoch=0, workers=2)
EPOCH:: 1, Traininig Loss: 0.187391, Testing Loss: 0.164218, Best Loss: 0.164218, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 2, Traininig Loss: 0.108163, Testing Loss: 0.140689, Best Loss: 0.140689, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 3, Traininig Loss: 0.069187, Testing Loss: 0.096416, Best Loss: 0.096416, Training Acc: 1.000000, Testing Acc: 0.980769
EPOCH:: 4, Traininig Loss: 0.043746, Testing Loss: 0.056764, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 5, Traininig Loss: 0.084604, Testing Loss: 0.113401, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 6, Traininig Loss: 0.075538, Testing Loss: 0.085831, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 7, Traininig Loss: 0.092987, Testing Loss: 0.189625, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 0.980769
EPOCH:: 8, Traininig Loss: 0.109834, Testing Loss: 0.173967, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 0.980769
EPOCH:: 9, Traininig Loss: 0.153709, Testing Loss: 0.169863, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 10, Traininig Loss: 0.122256, Testing Loss: 0.128747, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 11, Traininig Loss: 0.116785, Testing Loss: 0.312917, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 0.846154
EPOCH:: 12, Traininig Loss: 0.125680, Testing Loss: 0.141109, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 13, Traininig Loss: 0.123611, Testing Loss: 0.147616, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 14, Traininig Loss: 0.120816, Testing Loss: 0.119637, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 15, Traininig Loss: 0.095164, Testing Loss: 0.128109, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 16, Traininig Loss: 0.149214, Testing Loss: 0.107896, Best Loss: 0.056764, Training Acc: 0.972973, Testing Acc: 1.000000
EPOCH:: 17, Traininig Loss: 0.128366, Testing Loss: 0.121283, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 18, Traininig Loss: 0.122077, Testing Loss: 0.110048, Best Loss: 0.056764, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 19, Traininig Loss: 0.360841, Testing Loss: 0.629438, Best Loss: 0.056764, Training Acc: 0.702703, Testing Acc: 0.211538
EPOCH:: 20, Traininig Loss: 0.411279, Testing Loss: 0.462057, Best Loss: 0.056764, Training Acc: 0.972973, Testing Acc: 0.673077
EPOCH:: 21, Traininig Loss: 0.381123, Testing Loss: 0.329981, Best Loss: 0.056764, Training Acc: 0.972973, Testing Acc: 0.846154
EPOCH:: 22, Traininig Loss: 0.480497, Testing Loss: 0.693596, Best Loss: 0.056764, Training Acc: 0.567568, Testing Acc: 0.442308
EPOCH:: 23, Traininig Loss: 0.843410, Testing Loss: 0.853456, Best Loss: 0.056764, Training Acc: 0.000000, Testing Acc: 0.250000
EPOCH:: 24, Traininig Loss: 0.937781, Testing Loss: 0.871546, Best Loss: 0.056764, Training Acc: 0.000000, Testing Acc: 0.230769
EPOCH:: 25, Traininig Loss: 0.916609, Testing Loss: 0.946382, Best Loss: 0.056764, Training Acc: 0.000000, Testing Acc: 0.173077
EPOCH:: 26, Traininig Loss: 0.945749, Testing Loss: 0.844114, Best Loss: 0.056764, Training Acc: 0.000000, Testing Acc: 0.288462
EPOCH:: 27, Traininig Loss: 0.957376, Testing Loss: 0.817963, Best Loss: 0.056764, Training Acc: 0.000000, Testing Acc: 0.288462
EPOCH:: 28, Traininig Loss: 0.890876, Testing Loss: 0.788162, Best Loss: 0.056764, Training Acc: 0.000000, Testing Acc: 0.307692
