Namespace(batch_size=8, dataset_path='ModelNet40', dataset_type='modelnet', device='cuda:0', emb_dims=1024, epochs=400, eval=False, exp_name='exp_rpmnet', fine_tune_pointnet='tune', num_points=1024, optimizer='Adam', pretrained='', resume='', seed=1234, start_epoch=0, symfn='max', transfer_ptnet_weights='./checkpoints/exp_classifier/models/best_ptnet_model.t7', workers=4)
EPOCH:: 1, Traininig Loss: 1.300808, Testing Loss: 0.290978, Best Loss: 0.290978, Training Acc: 0.000000, Testing Acc: 0.019481
EPOCH:: 2, Traininig Loss: 0.404392, Testing Loss: 0.229073, Best Loss: 0.229073, Training Acc: 0.001626, Testing Acc: 0.042208
EPOCH:: 3, Traininig Loss: 0.400743, Testing Loss: 1.561757, Best Loss: 0.229073, Training Acc: 0.022764, Testing Acc: 0.003247
EPOCH:: 4, Traininig Loss: 1.322447, Testing Loss: 0.310409, Best Loss: 0.229073, Training Acc: 0.000000, Testing Acc: 0.006494
EPOCH:: 5, Traininig Loss: 0.487604, Testing Loss: 0.197554, Best Loss: 0.197554, Training Acc: 0.001626, Testing Acc: 0.110390
EPOCH:: 6, Traininig Loss: 0.383402, Testing Loss: 0.165418, Best Loss: 0.165418, Training Acc: 0.000000, Testing Acc: 0.159091
EPOCH:: 7, Traininig Loss: 0.296183, Testing Loss: 0.156609, Best Loss: 0.156609, Training Acc: 0.013008, Testing Acc: 0.172078
EPOCH:: 8, Traininig Loss: 0.230514, Testing Loss: 0.134705, Best Loss: 0.134705, Training Acc: 0.076423, Testing Acc: 0.435065
EPOCH:: 9, Traininig Loss: 0.186482, Testing Loss: 0.108281, Best Loss: 0.108281, Training Acc: 0.134959, Testing Acc: 0.496753
EPOCH:: 10, Traininig Loss: 0.702512, Testing Loss: 0.289524, Best Loss: 0.108281, Training Acc: 0.139837, Testing Acc: 0.019481
EPOCH:: 11, Traininig Loss: 0.412407, Testing Loss: 0.156489, Best Loss: 0.108281, Training Acc: 0.003252, Testing Acc: 0.250000
EPOCH:: 12, Traininig Loss: 0.203068, Testing Loss: 0.141959, Best Loss: 0.108281, Training Acc: 0.024390, Testing Acc: 0.344156
EPOCH:: 13, Traininig Loss: 0.214043, Testing Loss: 0.158865, Best Loss: 0.108281, Training Acc: 0.060163, Testing Acc: 0.185065
EPOCH:: 14, Traininig Loss: 0.181353, Testing Loss: 0.148415, Best Loss: 0.108281, Training Acc: 0.082927, Testing Acc: 0.379870
EPOCH:: 15, Traininig Loss: 0.124091, Testing Loss: 0.181620, Best Loss: 0.108281, Training Acc: 0.209756, Testing Acc: 0.477273
EPOCH:: 16, Traininig Loss: 0.107363, Testing Loss: 0.191662, Best Loss: 0.108281, Training Acc: 0.302439, Testing Acc: 0.470779
EPOCH:: 17, Traininig Loss: 0.564141, Testing Loss: 0.171866, Best Loss: 0.108281, Training Acc: 0.115447, Testing Acc: 0.129870
EPOCH:: 18, Traininig Loss: 0.216058, Testing Loss: 0.170985, Best Loss: 0.108281, Training Acc: 0.061789, Testing Acc: 0.360390
EPOCH:: 19, Traininig Loss: 0.133486, Testing Loss: 0.140424, Best Loss: 0.108281, Training Acc: 0.191870, Testing Acc: 0.311688
EPOCH:: 20, Traininig Loss: 0.119929, Testing Loss: 0.128668, Best Loss: 0.108281, Training Acc: 0.294309, Testing Acc: 0.490260
