Namespace(exp_name='exp_rpmnet', dataset_path='ModelNet40', eval=False, dataset_type='modelnet', num_points=1024, fine_tune_pointnet='tune', transfer_ptnet_weights='./checkpoints/exp_classifier/models/best_ptnet_model.t7', emb_dims=1024, symfn='max', seed=1234, workers=4, batch_size=8, epochs=200, start_epoch=0, optimizer='Adam', resume='', pretrained='', device='cuda:0')
EPOCH:: 1, Traininig Loss: 0.013092, Testing Loss: 0.006069, Best Loss: 0.006069, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 2, Traininig Loss: 0.005542, Testing Loss: 0.008775, Best Loss: 0.006069, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 3, Traininig Loss: 0.005077, Testing Loss: 0.003064, Best Loss: 0.003064, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 4, Traininig Loss: 0.002185, Testing Loss: 0.001891, Best Loss: 0.001891, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 5, Traininig Loss: 0.003507, Testing Loss: 0.014475, Best Loss: 0.001891, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 6, Traininig Loss: 0.003593, Testing Loss: 0.002071, Best Loss: 0.001891, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 7, Traininig Loss: 0.001474, Testing Loss: 0.002285, Best Loss: 0.001891, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 8, Traininig Loss: 0.003946, Testing Loss: 0.006611, Best Loss: 0.001891, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 9, Traininig Loss: 0.001445, Testing Loss: 0.001883, Best Loss: 0.001883, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 10, Traininig Loss: 0.000898, Testing Loss: 0.001916, Best Loss: 0.001883, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 11, Traininig Loss: 0.000459, Testing Loss: 0.003068, Best Loss: 0.001883, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 12, Traininig Loss: 0.000487, Testing Loss: 0.001704, Best Loss: 0.001704, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 13, Traininig Loss: 0.001123, Testing Loss: 0.002476, Best Loss: 0.001704, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 14, Traininig Loss: 0.000508, Testing Loss: 0.001839, Best Loss: 0.001704, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 15, Traininig Loss: 0.000175, Testing Loss: 0.002009, Best Loss: 0.001704, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 16, Traininig Loss: 0.000258, Testing Loss: 0.002530, Best Loss: 0.001704, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 17, Traininig Loss: 0.000248, Testing Loss: 0.002523, Best Loss: 0.001704, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 18, Traininig Loss: 0.000372, Testing Loss: 0.001481, Best Loss: 0.001481, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 19, Traininig Loss: 0.000270, Testing Loss: 0.002168, Best Loss: 0.001481, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 20, Traininig Loss: 0.000093, Testing Loss: 0.001744, Best Loss: 0.001481, Training Acc: 1.000000, Testing Acc: 1.000000
