Namespace(exp_name='exp_rpmnet', dataset_path='ModelNet40', eval=False, dataset_type='modelnet', num_points=1024, fine_tune_pointnet='tune', transfer_ptnet_weights='./checkpoints/exp_classifier/models/best_ptnet_model.t7', emb_dims=1024, symfn='max', seed=1234, workers=4, batch_size=8, epochs=400, start_epoch=0, optimizer='Adam', resume='', pretrained='', device='cuda:0')
EPOCH:: 1, Traininig Loss: 2.284763, Testing Loss: 1.533926, Best Loss: 1.533926, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 2, Traininig Loss: 1.880242, Testing Loss: 0.915904, Best Loss: 0.915904, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 3, Traininig Loss: 1.921057, Testing Loss: 1.232437, Best Loss: 0.915904, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 4, Traininig Loss: 1.717610, Testing Loss: 0.638727, Best Loss: 0.638727, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 5, Traininig Loss: 1.262556, Testing Loss: 0.555338, Best Loss: 0.555338, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 6, Traininig Loss: 0.995860, Testing Loss: 0.466010, Best Loss: 0.466010, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 7, Traininig Loss: 0.789637, Testing Loss: 0.374891, Best Loss: 0.374891, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 8, Traininig Loss: 0.550571, Testing Loss: 0.267290, Best Loss: 0.267290, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 9, Traininig Loss: 0.394800, Testing Loss: 0.192032, Best Loss: 0.192032, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 10, Traininig Loss: 0.317809, Testing Loss: 0.183740, Best Loss: 0.183740, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 11, Traininig Loss: 0.276714, Testing Loss: 0.156712, Best Loss: 0.156712, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 12, Traininig Loss: 0.216257, Testing Loss: 0.139645, Best Loss: 0.139645, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 13, Traininig Loss: 0.202279, Testing Loss: 0.149989, Best Loss: 0.139645, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 14, Traininig Loss: 0.198768, Testing Loss: 0.115812, Best Loss: 0.115812, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 15, Traininig Loss: 0.162390, Testing Loss: 0.270804, Best Loss: 0.115812, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 16, Traininig Loss: 0.186985, Testing Loss: 0.140870, Best Loss: 0.115812, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 17, Traininig Loss: 0.260427, Testing Loss: 0.126762, Best Loss: 0.115812, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 18, Traininig Loss: 0.132565, Testing Loss: 0.104035, Best Loss: 0.104035, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 19, Traininig Loss: 0.098727, Testing Loss: 0.112689, Best Loss: 0.104035, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 20, Traininig Loss: 0.076242, Testing Loss: 0.095550, Best Loss: 0.095550, Training Acc: 0.000000, Testing Acc: 0.009740
EPOCH:: 21, Traininig Loss: 0.079929, Testing Loss: 0.112631, Best Loss: 0.095550, Training Acc: 0.000000, Testing Acc: 0.003247
EPOCH:: 22, Traininig Loss: 0.060913, Testing Loss: 0.089980, Best Loss: 0.089980, Training Acc: 0.000000, Testing Acc: 0.009740
EPOCH:: 23, Traininig Loss: 0.121127, Testing Loss: 0.191853, Best Loss: 0.089980, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 24, Traininig Loss: 0.073383, Testing Loss: 0.088383, Best Loss: 0.088383, Training Acc: 0.001626, Testing Acc: 0.025974
EPOCH:: 25, Traininig Loss: 0.040410, Testing Loss: 0.098718, Best Loss: 0.088383, Training Acc: 0.003252, Testing Acc: 0.022727
EPOCH:: 26, Traininig Loss: 0.037314, Testing Loss: 0.087079, Best Loss: 0.087079, Training Acc: 0.008130, Testing Acc: 0.064935
EPOCH:: 27, Traininig Loss: 0.035815, Testing Loss: 0.090567, Best Loss: 0.087079, Training Acc: 0.006504, Testing Acc: 0.025974
EPOCH:: 28, Traininig Loss: 0.055531, Testing Loss: 0.082237, Best Loss: 0.082237, Training Acc: 0.006504, Testing Acc: 0.022727
EPOCH:: 29, Traininig Loss: 0.030240, Testing Loss: 0.073125, Best Loss: 0.073125, Training Acc: 0.045528, Testing Acc: 0.058442
EPOCH:: 30, Traininig Loss: 0.029019, Testing Loss: 0.093618, Best Loss: 0.073125, Training Acc: 0.035772, Testing Acc: 0.045455
EPOCH:: 31, Traininig Loss: 0.028474, Testing Loss: 0.084526, Best Loss: 0.073125, Training Acc: 0.058537, Testing Acc: 0.035714
EPOCH:: 32, Traininig Loss: 0.030115, Testing Loss: 0.077223, Best Loss: 0.073125, Training Acc: 0.048780, Testing Acc: 0.107143
EPOCH:: 33, Traininig Loss: 0.026013, Testing Loss: 0.074907, Best Loss: 0.073125, Training Acc: 0.099187, Testing Acc: 0.071429
EPOCH:: 34, Traininig Loss: 0.026150, Testing Loss: 0.082399, Best Loss: 0.073125, Training Acc: 0.078049, Testing Acc: 0.110390
EPOCH:: 35, Traininig Loss: 0.019420, Testing Loss: 0.081114, Best Loss: 0.073125, Training Acc: 0.191870, Testing Acc: 0.055195
EPOCH:: 36, Traininig Loss: 0.019707, Testing Loss: 0.088301, Best Loss: 0.073125, Training Acc: 0.193496, Testing Acc: 0.055195
EPOCH:: 37, Traininig Loss: 0.091266, Testing Loss: 0.078753, Best Loss: 0.073125, Training Acc: 0.032520, Testing Acc: 0.071429
EPOCH:: 38, Traininig Loss: 0.013314, Testing Loss: 0.068734, Best Loss: 0.068734, Training Acc: 0.388618, Testing Acc: 0.116883
EPOCH:: 39, Traininig Loss: 0.010432, Testing Loss: 0.081358, Best Loss: 0.068734, Training Acc: 0.600000, Testing Acc: 0.149351
EPOCH:: 40, Traininig Loss: 0.011247, Testing Loss: 0.073624, Best Loss: 0.068734, Training Acc: 0.569106, Testing Acc: 0.178571
EPOCH:: 41, Traininig Loss: 0.029734, Testing Loss: 0.079824, Best Loss: 0.068734, Training Acc: 0.222764, Testing Acc: 0.074675
EPOCH:: 42, Traininig Loss: 0.015196, Testing Loss: 0.067086, Best Loss: 0.067086, Training Acc: 0.409756, Testing Acc: 0.168831
EPOCH:: 43, Traininig Loss: 0.009418, Testing Loss: 0.075950, Best Loss: 0.067086, Training Acc: 0.708943, Testing Acc: 0.133117
EPOCH:: 44, Traininig Loss: 0.016320, Testing Loss: 0.104625, Best Loss: 0.067086, Training Acc: 0.439024, Testing Acc: 0.051948
EPOCH:: 45, Traininig Loss: 0.016749, Testing Loss: 0.118442, Best Loss: 0.067086, Training Acc: 0.414634, Testing Acc: 0.012987
EPOCH:: 46, Traininig Loss: 0.021452, Testing Loss: 0.070101, Best Loss: 0.067086, Training Acc: 0.356098, Testing Acc: 0.175325
EPOCH:: 47, Traininig Loss: 0.007865, Testing Loss: 0.068020, Best Loss: 0.067086, Training Acc: 0.795122, Testing Acc: 0.217532
EPOCH:: 48, Traininig Loss: 0.014393, Testing Loss: 0.075323, Best Loss: 0.067086, Training Acc: 0.426016, Testing Acc: 0.139610
EPOCH:: 49, Traininig Loss: 0.010624, Testing Loss: 0.074730, Best Loss: 0.067086, Training Acc: 0.626016, Testing Acc: 0.146104
EPOCH:: 50, Traininig Loss: 0.007661, Testing Loss: 0.072728, Best Loss: 0.067086, Training Acc: 0.795122, Testing Acc: 0.233766
EPOCH:: 51, Traininig Loss: 0.058329, Testing Loss: 0.073672, Best Loss: 0.067086, Training Acc: 0.195122, Testing Acc: 0.133117
EPOCH:: 52, Traininig Loss: 0.008043, Testing Loss: 0.069970, Best Loss: 0.067086, Training Acc: 0.751220, Testing Acc: 0.220779
EPOCH:: 53, Traininig Loss: 0.005560, Testing Loss: 0.068739, Best Loss: 0.067086, Training Acc: 0.926829, Testing Acc: 0.266234
EPOCH:: 54, Traininig Loss: 0.005634, Testing Loss: 0.069197, Best Loss: 0.067086, Training Acc: 0.915447, Testing Acc: 0.256494
EPOCH:: 55, Traininig Loss: 0.006988, Testing Loss: 0.071912, Best Loss: 0.067086, Training Acc: 0.842276, Testing Acc: 0.285714
EPOCH:: 56, Traininig Loss: 0.008058, Testing Loss: 0.066653, Best Loss: 0.066653, Training Acc: 0.754472, Testing Acc: 0.282468
EPOCH:: 57, Traininig Loss: 0.010368, Testing Loss: 0.069692, Best Loss: 0.066653, Training Acc: 0.614634, Testing Acc: 0.259740
