Namespace(exp_name='exp_rpmnet', dataset_path='ModelNet40', eval=False, dataset_type='modelnet', num_points=1024, fine_tune_pointnet='tune', transfer_ptnet_weights='./checkpoints/exp_classifier/models/best_ptnet_model.t7', emb_dims=1024, symfn='max', seed=1234, workers=4, batch_size=7, epochs=400, start_epoch=0, optimizer='Adam', resume='', pretrained='', device='cuda:0')
EPOCH:: 1, Traininig Loss: 1.804348, Testing Loss: 1.217879, Best Loss: 1.217879, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 2, Traininig Loss: 0.917105, Testing Loss: 0.597006, Best Loss: 0.597006, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 3, Traininig Loss: 0.437970, Testing Loss: 0.379567, Best Loss: 0.379567, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 4, Traininig Loss: 0.308091, Testing Loss: 0.310918, Best Loss: 0.310918, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 5, Traininig Loss: 0.229502, Testing Loss: 0.272476, Best Loss: 0.272476, Training Acc: 0.000000, Testing Acc: 0.000000
EPOCH:: 6, Traininig Loss: 0.314473, Testing Loss: 0.436501, Best Loss: 0.272476, Training Acc: 0.004274, Testing Acc: 0.000000
EPOCH:: 7, Traininig Loss: 0.224440, Testing Loss: 0.255627, Best Loss: 0.255627, Training Acc: 0.001425, Testing Acc: 0.000000
EPOCH:: 8, Traininig Loss: 0.167865, Testing Loss: 0.220199, Best Loss: 0.220199, Training Acc: 0.008547, Testing Acc: 0.005682
EPOCH:: 9, Traininig Loss: 0.133101, Testing Loss: 0.167898, Best Loss: 0.167898, Training Acc: 0.024217, Testing Acc: 0.005682
EPOCH:: 10, Traininig Loss: 0.115419, Testing Loss: 0.164781, Best Loss: 0.164781, Training Acc: 0.044160, Testing Acc: 0.000000
EPOCH:: 11, Traininig Loss: 0.104053, Testing Loss: 0.180201, Best Loss: 0.164781, Training Acc: 0.076923, Testing Acc: 0.000000
EPOCH:: 12, Traininig Loss: 0.090157, Testing Loss: 0.134426, Best Loss: 0.134426, Training Acc: 0.138177, Testing Acc: 0.017045
EPOCH:: 13, Traininig Loss: 0.073803, Testing Loss: 0.115954, Best Loss: 0.115954, Training Acc: 0.246439, Testing Acc: 0.011364
EPOCH:: 14, Traininig Loss: 0.069728, Testing Loss: 0.102765, Best Loss: 0.102765, Training Acc: 0.329060, Testing Acc: 0.051136
EPOCH:: 15, Traininig Loss: 0.056250, Testing Loss: 0.100146, Best Loss: 0.100146, Training Acc: 0.501425, Testing Acc: 0.056818
EPOCH:: 16, Traininig Loss: 0.054805, Testing Loss: 0.087745, Best Loss: 0.087745, Training Acc: 0.514245, Testing Acc: 0.159091
EPOCH:: 17, Traininig Loss: 0.050173, Testing Loss: 0.118493, Best Loss: 0.087745, Training Acc: 0.599715, Testing Acc: 0.028409
EPOCH:: 18, Traininig Loss: 0.038381, Testing Loss: 0.104498, Best Loss: 0.087745, Training Acc: 0.806268, Testing Acc: 0.090909
EPOCH:: 19, Traininig Loss: 0.049090, Testing Loss: 0.087562, Best Loss: 0.087562, Training Acc: 0.636752, Testing Acc: 0.119318
EPOCH:: 20, Traininig Loss: 0.032136, Testing Loss: 0.082745, Best Loss: 0.082745, Training Acc: 0.891738, Testing Acc: 0.204545
EPOCH:: 21, Traininig Loss: 0.035192, Testing Loss: 0.078540, Best Loss: 0.078540, Training Acc: 0.843305, Testing Acc: 0.278409
EPOCH:: 22, Traininig Loss: 0.029026, Testing Loss: 0.076782, Best Loss: 0.076782, Training Acc: 0.925926, Testing Acc: 0.289773
EPOCH:: 23, Traininig Loss: 0.029642, Testing Loss: 0.064827, Best Loss: 0.064827, Training Acc: 0.915954, Testing Acc: 0.409091
EPOCH:: 24, Traininig Loss: 0.026993, Testing Loss: 0.068982, Best Loss: 0.064827, Training Acc: 0.931624, Testing Acc: 0.380682
EPOCH:: 25, Traininig Loss: 0.022697, Testing Loss: 0.080514, Best Loss: 0.064827, Training Acc: 0.968661, Testing Acc: 0.244318
EPOCH:: 26, Traininig Loss: 0.022923, Testing Loss: 0.061165, Best Loss: 0.061165, Training Acc: 0.962963, Testing Acc: 0.460227
EPOCH:: 27, Traininig Loss: 0.022411, Testing Loss: 0.066223, Best Loss: 0.061165, Training Acc: 0.964387, Testing Acc: 0.392045
EPOCH:: 28, Traininig Loss: 0.019554, Testing Loss: 0.075158, Best Loss: 0.061165, Training Acc: 0.985755, Testing Acc: 0.369318
EPOCH:: 29, Traininig Loss: 0.020188, Testing Loss: 0.052382, Best Loss: 0.052382, Training Acc: 0.971510, Testing Acc: 0.590909
EPOCH:: 30, Traininig Loss: 0.016613, Testing Loss: 0.063178, Best Loss: 0.052382, Training Acc: 0.994302, Testing Acc: 0.448864
EPOCH:: 31, Traininig Loss: 0.017411, Testing Loss: 0.059811, Best Loss: 0.052382, Training Acc: 0.988604, Testing Acc: 0.471591
EPOCH:: 32, Traininig Loss: 0.017067, Testing Loss: 0.056838, Best Loss: 0.052382, Training Acc: 0.978632, Testing Acc: 0.545455
EPOCH:: 33, Traininig Loss: 0.015863, Testing Loss: 0.053375, Best Loss: 0.052382, Training Acc: 0.992877, Testing Acc: 0.602273
EPOCH:: 34, Traininig Loss: 0.015280, Testing Loss: 0.046584, Best Loss: 0.046584, Training Acc: 0.994302, Testing Acc: 0.693182
EPOCH:: 35, Traininig Loss: 0.016390, Testing Loss: 0.048480, Best Loss: 0.046584, Training Acc: 0.985755, Testing Acc: 0.653409
EPOCH:: 36, Traininig Loss: 0.011263, Testing Loss: 0.043813, Best Loss: 0.043813, Training Acc: 1.000000, Testing Acc: 0.744318
EPOCH:: 37, Traininig Loss: 0.011673, Testing Loss: 0.043092, Best Loss: 0.043092, Training Acc: 1.000000, Testing Acc: 0.732955
EPOCH:: 38, Traininig Loss: 0.012573, Testing Loss: 0.057055, Best Loss: 0.043092, Training Acc: 0.994302, Testing Acc: 0.522727
EPOCH:: 39, Traininig Loss: 0.011821, Testing Loss: 0.049569, Best Loss: 0.043092, Training Acc: 0.997151, Testing Acc: 0.647727
EPOCH:: 40, Traininig Loss: 0.011576, Testing Loss: 0.044331, Best Loss: 0.043092, Training Acc: 0.997151, Testing Acc: 0.738636
EPOCH:: 41, Traininig Loss: 0.012875, Testing Loss: 0.053841, Best Loss: 0.043092, Training Acc: 0.991453, Testing Acc: 0.653409
EPOCH:: 42, Traininig Loss: 0.009605, Testing Loss: 0.043529, Best Loss: 0.043092, Training Acc: 1.000000, Testing Acc: 0.750000
EPOCH:: 43, Traininig Loss: 0.012420, Testing Loss: 0.041708, Best Loss: 0.041708, Training Acc: 0.991453, Testing Acc: 0.767045
EPOCH:: 44, Traininig Loss: 0.009212, Testing Loss: 0.043067, Best Loss: 0.041708, Training Acc: 1.000000, Testing Acc: 0.750000
EPOCH:: 45, Traininig Loss: 0.009642, Testing Loss: 0.044659, Best Loss: 0.041708, Training Acc: 1.000000, Testing Acc: 0.744318
EPOCH:: 46, Traininig Loss: 0.009546, Testing Loss: 0.047442, Best Loss: 0.041708, Training Acc: 0.995726, Testing Acc: 0.715909
EPOCH:: 47, Traininig Loss: 0.010268, Testing Loss: 0.037352, Best Loss: 0.037352, Training Acc: 0.998575, Testing Acc: 0.857955
EPOCH:: 48, Traininig Loss: 0.007654, Testing Loss: 0.045649, Best Loss: 0.037352, Training Acc: 1.000000, Testing Acc: 0.732955
EPOCH:: 49, Traininig Loss: 0.008014, Testing Loss: 0.033627, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.869318
EPOCH:: 50, Traininig Loss: 0.008436, Testing Loss: 0.040201, Best Loss: 0.033627, Training Acc: 0.998575, Testing Acc: 0.812500
EPOCH:: 51, Traininig Loss: 0.007991, Testing Loss: 0.038753, Best Loss: 0.033627, Training Acc: 0.998575, Testing Acc: 0.818182
EPOCH:: 52, Traininig Loss: 0.014039, Testing Loss: 0.042022, Best Loss: 0.033627, Training Acc: 0.968661, Testing Acc: 0.784091
EPOCH:: 53, Traininig Loss: 0.005837, Testing Loss: 0.035367, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.863636
EPOCH:: 54, Traininig Loss: 0.005458, Testing Loss: 0.036199, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.852273
EPOCH:: 55, Traininig Loss: 0.007352, Testing Loss: 0.041641, Best Loss: 0.033627, Training Acc: 0.998575, Testing Acc: 0.761364
EPOCH:: 56, Traininig Loss: 0.005928, Testing Loss: 0.036023, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.835227
EPOCH:: 57, Traininig Loss: 0.006863, Testing Loss: 0.044407, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.744318
EPOCH:: 58, Traininig Loss: 0.006456, Testing Loss: 0.036769, Best Loss: 0.033627, Training Acc: 0.998575, Testing Acc: 0.812500
EPOCH:: 59, Traininig Loss: 0.007123, Testing Loss: 0.037532, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.823864
EPOCH:: 60, Traininig Loss: 0.005501, Testing Loss: 0.036818, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.840909
EPOCH:: 61, Traininig Loss: 0.006071, Testing Loss: 0.038146, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.823864
EPOCH:: 62, Traininig Loss: 0.005909, Testing Loss: 0.037340, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.812500
EPOCH:: 63, Traininig Loss: 0.006472, Testing Loss: 0.042303, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.795455
EPOCH:: 64, Traininig Loss: 0.005796, Testing Loss: 0.036534, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.846591
EPOCH:: 65, Traininig Loss: 0.005989, Testing Loss: 0.039393, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.801136
EPOCH:: 66, Traininig Loss: 0.005033, Testing Loss: 0.035972, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.857955
EPOCH:: 67, Traininig Loss: 0.005615, Testing Loss: 0.037845, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.812500
EPOCH:: 68, Traininig Loss: 0.005274, Testing Loss: 0.036227, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.818182
EPOCH:: 69, Traininig Loss: 0.005636, Testing Loss: 0.037788, Best Loss: 0.033627, Training Acc: 1.000000, Testing Acc: 0.823864
EPOCH:: 70, Traininig Loss: 0.004239, Testing Loss: 0.032014, Best Loss: 0.032014, Training Acc: 1.000000, Testing Acc: 0.892045
EPOCH:: 71, Traininig Loss: 0.006053, Testing Loss: 0.030043, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.880682
EPOCH:: 72, Traininig Loss: 0.004485, Testing Loss: 0.032938, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.869318
EPOCH:: 73, Traininig Loss: 0.004590, Testing Loss: 0.035274, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.846591
EPOCH:: 74, Traininig Loss: 0.005183, Testing Loss: 0.031959, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.886364
EPOCH:: 75, Traininig Loss: 0.004544, Testing Loss: 0.036095, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.818182
EPOCH:: 76, Traininig Loss: 0.004428, Testing Loss: 0.035742, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.846591
EPOCH:: 77, Traininig Loss: 0.004275, Testing Loss: 0.034523, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.846591
EPOCH:: 78, Traininig Loss: 0.004525, Testing Loss: 0.038083, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.829545
EPOCH:: 79, Traininig Loss: 0.004148, Testing Loss: 0.033835, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.863636
EPOCH:: 80, Traininig Loss: 0.004366, Testing Loss: 0.030450, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.903409
EPOCH:: 81, Traininig Loss: 0.004325, Testing Loss: 0.036691, Best Loss: 0.030043, Training Acc: 0.998575, Testing Acc: 0.840909
EPOCH:: 82, Traininig Loss: 0.004443, Testing Loss: 0.031957, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.892045
EPOCH:: 83, Traininig Loss: 0.003962, Testing Loss: 0.039695, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.789773
EPOCH:: 84, Traininig Loss: 0.003269, Testing Loss: 0.031077, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.880682
EPOCH:: 85, Traininig Loss: 0.003568, Testing Loss: 0.035312, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.852273
EPOCH:: 86, Traininig Loss: 0.004618, Testing Loss: 0.034746, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.869318
EPOCH:: 87, Traininig Loss: 0.003303, Testing Loss: 0.036150, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.812500
EPOCH:: 88, Traininig Loss: 0.004412, Testing Loss: 0.040978, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.789773
EPOCH:: 89, Traininig Loss: 0.003609, Testing Loss: 0.034310, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.846591
EPOCH:: 90, Traininig Loss: 0.002671, Testing Loss: 0.030876, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.886364
EPOCH:: 91, Traininig Loss: 0.004112, Testing Loss: 0.037849, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.812500
EPOCH:: 92, Traininig Loss: 0.003405, Testing Loss: 0.033415, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.852273
EPOCH:: 93, Traininig Loss: 0.002946, Testing Loss: 0.033576, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.846591
EPOCH:: 94, Traininig Loss: 0.005101, Testing Loss: 0.037004, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.852273
EPOCH:: 95, Traininig Loss: 0.002798, Testing Loss: 0.032077, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.886364
EPOCH:: 96, Traininig Loss: 0.003040, Testing Loss: 0.034165, Best Loss: 0.030043, Training Acc: 1.000000, Testing Acc: 0.857955
EPOCH:: 97, Traininig Loss: 0.003098, Testing Loss: 0.029732, Best Loss: 0.029732, Training Acc: 1.000000, Testing Acc: 0.903409
EPOCH:: 98, Traininig Loss: 0.002989, Testing Loss: 0.030351, Best Loss: 0.029732, Training Acc: 1.000000, Testing Acc: 0.892045
EPOCH:: 99, Traininig Loss: 0.003076, Testing Loss: 0.032222, Best Loss: 0.029732, Training Acc: 1.000000, Testing Acc: 0.880682
EPOCH:: 100, Traininig Loss: 0.002995, Testing Loss: 0.035972, Best Loss: 0.029732, Training Acc: 1.000000, Testing Acc: 0.840909
EPOCH:: 101, Traininig Loss: 0.004058, Testing Loss: 0.030086, Best Loss: 0.029732, Training Acc: 1.000000, Testing Acc: 0.892045
EPOCH:: 102, Traininig Loss: 0.002599, Testing Loss: 0.033103, Best Loss: 0.029732, Training Acc: 1.000000, Testing Acc: 0.869318
EPOCH:: 103, Traininig Loss: 0.002627, Testing Loss: 0.028821, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.897727
EPOCH:: 104, Traininig Loss: 0.003291, Testing Loss: 0.035636, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.823864
EPOCH:: 105, Traininig Loss: 0.002904, Testing Loss: 0.035235, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.846591
EPOCH:: 106, Traininig Loss: 0.002683, Testing Loss: 0.031621, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.892045
EPOCH:: 107, Traininig Loss: 0.003733, Testing Loss: 0.035624, Best Loss: 0.028821, Training Acc: 0.998575, Testing Acc: 0.829545
EPOCH:: 108, Traininig Loss: 0.002672, Testing Loss: 0.030916, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.875000
EPOCH:: 109, Traininig Loss: 0.002220, Testing Loss: 0.031899, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.857955
EPOCH:: 110, Traininig Loss: 0.003108, Testing Loss: 0.034977, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.835227
EPOCH:: 111, Traininig Loss: 0.002400, Testing Loss: 0.032422, Best Loss: 0.028821, Training Acc: 1.000000, Testing Acc: 0.875000
EPOCH:: 112, Traininig Loss: 0.002934, Testing Loss: 0.028134, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.909091
EPOCH:: 113, Traininig Loss: 0.002724, Testing Loss: 0.031505, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.886364
EPOCH:: 114, Traininig Loss: 0.003115, Testing Loss: 0.032734, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.880682
EPOCH:: 115, Traininig Loss: 0.002117, Testing Loss: 0.030297, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.886364
EPOCH:: 116, Traininig Loss: 0.002466, Testing Loss: 0.029597, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.880682
EPOCH:: 117, Traininig Loss: 0.002633, Testing Loss: 0.033823, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.857955
EPOCH:: 118, Traininig Loss: 0.002530, Testing Loss: 0.030594, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.880682
EPOCH:: 119, Traininig Loss: 0.002704, Testing Loss: 0.031818, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.863636
EPOCH:: 120, Traininig Loss: 0.002363, Testing Loss: 0.033399, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.852273
EPOCH:: 121, Traininig Loss: 0.002320, Testing Loss: 0.028610, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.903409
EPOCH:: 122, Traininig Loss: 0.002150, Testing Loss: 0.033228, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.880682
EPOCH:: 123, Traininig Loss: 0.002699, Testing Loss: 0.028475, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.926136
EPOCH:: 124, Traininig Loss: 0.002519, Testing Loss: 0.030738, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.892045
EPOCH:: 125, Traininig Loss: 0.002145, Testing Loss: 0.031055, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.869318
EPOCH:: 126, Traininig Loss: 0.002477, Testing Loss: 0.031167, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.886364
EPOCH:: 127, Traininig Loss: 0.002277, Testing Loss: 0.034251, Best Loss: 0.028134, Training Acc: 1.000000, Testing Acc: 0.869318
